path,video,frame_name,auto_task,auto_risk,confidence,human_task,human_risk,quality,notes
data\diverse_training_data\frames\yt00_000420.jpg,,yt00_000420.jpg,Unknown,LOW,0,Seated Work,LOW,clear,test save
data\diverse_training_data\frames\yt00_000660.jpg,,yt00_000660.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt00_000720.jpg,,yt00_000720.jpg,Unknown,LOW,0,Assembly Work,MEDIUM,clear,
data\diverse_training_data\frames\yt00_000900.jpg,,yt00_000900.jpg,Unknown,LOW,0,Seated Work,LOW,partial,
data\diverse_training_data\frames\yt00_001080.jpg,,yt00_001080.jpg,Unknown,LOW,0,Inspection,LOW,partial,
data\diverse_training_data\frames\yt00_001140.jpg,,yt00_001140.jpg,Unknown,LOW,0,Inspection,LOW,partial,
data\diverse_training_data\frames\yt00_001200.jpg,,yt00_001200.jpg,Unknown,LOW,0,Assembly Work,LOW,blurry,
data\diverse_training_data\frames\yt00_001260.jpg,,yt00_001260.jpg,Unknown,LOW,0,Assembly Work,LOW,blurry,
data\diverse_training_data\frames\yt00_001320.jpg,,yt00_001320.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt00_001380.jpg,,yt00_001380.jpg,Unknown,LOW,0,Assembly Work,LOW,partial,
data\diverse_training_data\frames\yt00_001440.jpg,,yt00_001440.jpg,Unknown,LOW,0,Unknown,LOW,blurry,
data\diverse_training_data\frames\yt00_001500.jpg,,yt00_001500.jpg,Unknown,LOW,0,Assembly Work,LOW,clear,
data\diverse_training_data\frames\yt00_001560.jpg,,yt00_001560.jpg,Unknown,LOW,0,Unknown,LOW,clear,
data\diverse_training_data\frames\yt00_001620.jpg,,yt00_001620.jpg,Unknown,LOW,0,Unknown,LOW,occluded,
data\diverse_training_data\frames\yt00_001680.jpg,,yt00_001680.jpg,Unknown,LOW,0,Reaching,LOW,partial,
data\diverse_training_data\frames\yt00_001740.jpg,,yt00_001740.jpg,Unknown,LOW,0,Reaching,LOW,partial,
data\diverse_training_data\frames\yt00_001800.jpg,,yt00_001800.jpg,Unknown,LOW,0,Reaching,LOW,partial,
