alignment_deviation,body_visibility,forward_head_posture,frame_idx,frame_name,head_tilt_angle,knee_angle,left_shoulder_elev,lower_body_visible,neck_flexion,right_shoulder_elev,shoulder_symmetry,source_video,stance_stability,task_label,timestamp_sec,trunk_flexion,upper_body_visible,weight_shift_offset,wrist_deviation_angle
32.69,2.0,120.7,,yt00_000420.jpg,120.7,127.98,25.3,True,48.18,6.8,240.89,yt00,0.7,Neutral Standing,,46.91,True,51.6,80.77
2.49,2.0,6.42,,yt00_000720.jpg,6.42,136.98,163.23,True,99.56,146.98,43.03,yt00,0.7,Neutral Standing,,117.84,True,1.32,28.46
43.63,2.0,123.42,,yt00_001080.jpg,123.42,176.23,109.99,True,179.05,135.11,11.15,yt00,0.7,Neutral Standing,,139.54,True,2.29,160.89
49.07,2.0,48.38,,yt00_001140.jpg,48.38,178.87,115.3,True,168.01,130.04,11.39,yt00,0.7,Neutral Standing,,136.59,True,4.28,98.8
10.44,2.0,54.65,,yt00_001260.jpg,54.65,145.4,132.98,True,37.94,145.16,32.63,yt00,0.7,Neutral Standing,,123.3,True,0.63,116.64
12.27,2.0,56.59,,yt00_001320.jpg,56.59,171.97,137.29,True,121.45,136.84,112.05,yt00,0.7,Neutral Standing,,173.49,True,17.24,14.62
9.69,2.0,43.27,,yt00_001380.jpg,43.27,151.01,9.85,True,80.61,110.2,100.0,yt00,0.7,Neutral Standing,,166.71,True,13.6,79.93
9.25,2.0,1.93,,yt00_001440.jpg,1.93,127.37,162.73,True,96.96,155.84,3.84,yt00,0.7,Neutral Standing,,38.79,True,2.71,24.47
22.81,2.0,33.03,,yt00_001500.jpg,33.03,82.19,166.58,True,145.95,173.18,0.3,yt00,0.7,Neutral Standing,,146.83,True,3.47,130.35
23.27,2.0,10.52,,yt00_001560.jpg,10.52,107.8,166.12,True,158.09,170.48,17.81,yt00,0.7,Neutral Standing,,147.79,True,5.42,90.29
23.5,2.0,4.1,,yt00_001620.jpg,4.1,107.01,150.04,True,162.14,164.18,13.22,yt00,0.7,Neutral Standing,,149.75,True,6.72,88.62
17.27,2.0,86.69,,yt00_001680.jpg,86.69,95.8,70.55,True,131.16,84.26,4.85,yt00,0.7,Neutral Standing,,168.05,True,16.36,73.81
16.01,2.0,74.93,,yt00_001740.jpg,74.93,137.8,74.04,True,124.1,75.13,26.74,yt00,0.7,Neutral Standing,,165.48,True,14.23,93.29
14.48,2.0,67.53,,yt00_001800.jpg,67.53,166.1,72.11,True,140.31,85.69,13.95,yt00,0.7,Neutral Standing,,174.87,True,14.85,74.0
10.84,2.0,45.14,,yt00_001860.jpg,45.14,70.71,65.09,True,121.28,134.37,75.75,yt00,0.7,Neutral Standing,,150.5,True,15.57,51.39
4.32,2.0,5.28,,yt00_001980.jpg,5.28,35.82,60.54,True,17.84,104.51,9.68,yt00,0.7,Neutral Standing,,89.15,True,1.34,23.76
35.16,2.0,34.65,,yt00_002220.jpg,34.65,38.12,65.73,True,55.42,17.39,149.14,yt00,0.7,Neutral Standing,,127.87,True,42.72,72.3
10.01,2.0,29.92,,yt01_000250.jpg,29.92,35.49,107.67,True,84.85,118.07,6.34,yt01,0.7,Neutral Standing,,128.61,True,0.36,15.67
18.17,2.0,59.48,,yt01_000350.jpg,59.48,151.05,146.62,True,150.83,125.19,1.98,yt01,0.7,Neutral Standing,,129.49,True,0.06,95.03
9.39,2.0,8.74,,yt01_000400.jpg,8.74,95.2,36.7,True,10.52,148.73,34.32,yt01,0.7,Neutral Standing,,71.31,True,4.5,14.39
15.57,2.0,45.33,,yt01_000450.jpg,45.33,123.59,26.51,True,81.75,33.55,51.2,yt01,0.7,Neutral Standing,,77.42,True,1.15,75.49
25.8,2.0,106.21,,yt01_000550.jpg,106.21,174.69,161.02,True,71.15,163.8,62.47,yt01,0.7,Neutral Standing,,147.42,True,5.03,197.59
26.3,2.0,125.18,,yt01_000600.jpg,125.18,144.7,174.21,True,67.24,172.03,31.31,yt01,0.7,Neutral Standing,,158.7,True,1.36,159.89
8.74,2.0,2.63,,yt01_000650.jpg,2.63,170.06,98.1,True,65.49,126.29,13.32,yt01,0.7,Neutral Standing,,134.02,True,0.25,6.63
5.05,2.0,7.43,,yt01_000700.jpg,7.43,109.44,139.54,True,125.16,114.85,21.9,yt01,0.7,Neutral Standing,,163.41,True,6.02,11.28
19.01,2.0,67.81,,yt01_000800.jpg,67.81,149.61,98.16,True,123.38,116.76,46.57,yt01,0.7,Neutral Standing,,160.3,True,9.7,103.33
15.75,2.0,51.35,,yt01_000850.jpg,51.35,47.92,87.35,True,104.84,22.96,120.35,yt01,0.7,Neutral Standing,,51.42,True,21.37,52.31
