neck_flexion,trunk_flexion,left_shoulder_elev,right_shoulder_elev,shoulder_symmetry,alignment_deviation,knee_angle,forward_head_posture,head_tilt_angle,wrist_deviation_angle,stance_stability,weight_shift_offset,lower_body_visible,upper_body_visible,body_visibility,frame_name,source_video,task_label
48.18,46.91,25.3,6.8,240.89,32.69,127.98,120.7,120.7,80.77,0.7,51.6,True,True,2.0,yt00_000420.jpg,yt00,Neutral Standing
99.56,117.84,163.23,146.98,43.03,2.49,136.98,6.42,6.42,28.46,0.7,1.32,True,True,2.0,yt00_000720.jpg,yt00,Neutral Standing
179.05,139.54,109.99,135.11,11.15,43.63,176.23,123.42,123.42,160.89,0.7,2.29,True,True,2.0,yt00_001080.jpg,yt00,Neutral Standing
168.01,136.59,115.3,130.04,11.39,49.07,178.87,48.38,48.38,98.8,0.7,4.28,True,True,2.0,yt00_001140.jpg,yt00,Neutral Standing
37.94,123.3,132.98,145.16,32.63,10.44,145.4,54.65,54.65,116.64,0.7,0.63,True,True,2.0,yt00_001260.jpg,yt00,Neutral Standing
121.45,173.49,137.29,136.84,112.05,12.27,171.97,56.59,56.59,14.62,0.7,17.24,True,True,2.0,yt00_001320.jpg,yt00,Neutral Standing
80.61,166.71,9.85,110.2,100.0,9.69,151.01,43.27,43.27,79.93,0.7,13.6,True,True,2.0,yt00_001380.jpg,yt00,Neutral Standing
96.96,38.79,162.73,155.84,3.84,9.25,127.37,1.93,1.93,24.47,0.7,2.71,True,True,2.0,yt00_001440.jpg,yt00,Neutral Standing
145.95,146.83,166.58,173.18,0.3,22.81,82.19,33.03,33.03,130.35,0.7,3.47,True,True,2.0,yt00_001500.jpg,yt00,Neutral Standing
158.09,147.79,166.12,170.48,17.81,23.27,107.8,10.52,10.52,90.29,0.7,5.42,True,True,2.0,yt00_001560.jpg,yt00,Neutral Standing
162.14,149.75,150.04,164.18,13.22,23.5,107.01,4.1,4.1,88.62,0.7,6.72,True,True,2.0,yt00_001620.jpg,yt00,Neutral Standing
131.16,168.05,70.55,84.26,4.85,17.27,95.8,86.69,86.69,73.81,0.7,16.36,True,True,2.0,yt00_001680.jpg,yt00,Neutral Standing
124.1,165.48,74.04,75.13,26.74,16.01,137.8,74.93,74.93,93.29,0.7,14.23,True,True,2.0,yt00_001740.jpg,yt00,Neutral Standing
140.31,174.87,72.11,85.69,13.95,14.48,166.1,67.53,67.53,74.0,0.7,14.85,True,True,2.0,yt00_001800.jpg,yt00,Neutral Standing
121.28,150.5,65.09,134.37,75.75,10.84,70.71,45.14,45.14,51.39,0.7,15.57,True,True,2.0,yt00_001860.jpg,yt00,Neutral Standing
17.84,89.15,60.54,104.51,9.68,4.32,35.82,5.28,5.28,23.76,0.7,1.34,True,True,2.0,yt00_001980.jpg,yt00,Neutral Standing
55.42,127.87,65.73,17.39,149.14,35.16,38.12,34.65,34.65,72.3,0.7,42.72,True,True,2.0,yt00_002220.jpg,yt00,Neutral Standing
84.85,128.61,107.67,118.07,6.34,10.01,35.49,29.92,29.92,15.67,0.7,0.36,True,True,2.0,yt01_000250.jpg,yt01,Neutral Standing
150.83,129.49,146.62,125.19,1.98,18.17,151.05,59.48,59.48,95.03,0.7,0.06,True,True,2.0,yt01_000350.jpg,yt01,Neutral Standing
10.52,71.31,36.7,148.73,34.32,9.39,95.2,8.74,8.74,14.39,0.7,4.5,True,True,2.0,yt01_000400.jpg,yt01,Neutral Standing
81.75,77.42,26.51,33.55,51.2,15.57,123.59,45.33,45.33,75.49,0.7,1.15,True,True,2.0,yt01_000450.jpg,yt01,Neutral Standing
71.15,147.42,161.02,163.8,62.47,25.8,174.69,106.21,106.21,197.59,0.7,5.03,True,True,2.0,yt01_000550.jpg,yt01,Neutral Standing
67.24,158.7,174.21,172.03,31.31,26.3,144.7,125.18,125.18,159.89,0.7,1.36,True,True,2.0,yt01_000600.jpg,yt01,Neutral Standing
65.49,134.02,98.1,126.29,13.32,8.74,170.06,2.63,2.63,6.63,0.7,0.25,True,True,2.0,yt01_000650.jpg,yt01,Neutral Standing
125.16,163.41,139.54,114.85,21.9,5.05,109.44,7.43,7.43,11.28,0.7,6.02,True,True,2.0,yt01_000700.jpg,yt01,Neutral Standing
123.38,160.3,98.16,116.76,46.57,19.01,149.61,67.81,67.81,103.33,0.7,9.7,True,True,2.0,yt01_000800.jpg,yt01,Neutral Standing
104.84,51.42,87.35,22.96,120.35,15.75,47.92,51.35,51.35,52.31,0.7,21.37,True,True,2.0,yt01_000850.jpg,yt01,Neutral Standing
166.58,121.4,124.96,90.92,11.7,18.65,114.84,90.01,90.01,92.38,0.7,3.58,True,True,2.0,yt01_000900.jpg,yt01,Neutral Standing
47.57,12.09,39.32,37.12,5.25,9.85,75.89,22.46,22.46,53.33,0.7,7.92,True,True,2.0,yt01_000950.jpg,yt01,Neutral Standing
174.18,147.97,154.66,157.3,24.03,29.19,176.95,33.45,33.45,119.18,0.7,1.23,True,True,2.0,yt01_001050.jpg,yt01,Neutral Standing
170.58,147.75,157.09,157.61,13.63,29.24,177.04,39.99,39.99,130.81,0.7,1.18,True,True,2.0,yt01_001100.jpg,yt01,Neutral Standing
161.23,76.9,140.42,61.4,32.67,8.98,60.63,15.25,15.25,44.19,0.7,12.11,True,True,2.0,yt01_001250.jpg,yt01,Neutral Standing
32.29,27.58,30.56,17.58,0.88,15.19,147.61,13.83,13.83,22.51,0.7,5.02,True,True,2.0,yt01_001300.jpg,yt01,Neutral Standing
83.57,151.81,95.83,164.53,12.48,9.84,31.84,7.12,7.12,23.23,0.7,1.73,True,True,2.0,yt01_001450.jpg,yt01,Neutral Standing
78.62,144.36,132.28,121.03,0.32,12.22,16.91,0.25,0.25,26.53,0.7,0.2,True,True,2.0,yt01_001500.jpg,yt01,Neutral Standing
75.16,140.21,112.57,130.57,2.77,11.09,169.55,4.75,4.75,6.04,0.7,0.31,True,True,2.0,yt01_001550.jpg,yt01,Neutral Standing
156.42,143.94,141.36,158.89,16.47,31.38,177.48,43.01,43.01,97.57,0.7,0.78,True,True,2.0,yt01_001600.jpg,yt01,Neutral Standing
179.44,151.02,172.47,159.62,49.14,11.66,160.68,39.15,39.15,24.66,0.7,9.75,True,True,2.0,yt01_001700.jpg,yt01,Neutral Standing
179.67,151.35,109.11,131.99,2.02,12.1,77.02,61.7,61.7,44.27,0.7,5.92,True,True,2.0,yt01_001750.jpg,yt01,Neutral Standing
172.85,155.54,96.76,98.19,10.7,12.54,75.3,64.44,64.44,84.81,0.7,6.8,True,True,2.0,yt01_001800.jpg,yt01,Neutral Standing
171.92,154.53,96.66,100.51,11.04,12.38,76.22,61.67,61.67,82.05,0.7,6.36,True,True,2.0,yt01_001850.jpg,yt01,Neutral Standing
171.78,154.79,99.04,98.76,12.63,12.36,77.5,61.5,61.5,85.04,0.7,6.25,True,True,2.0,yt01_001900.jpg,yt01,Neutral Standing
150.36,118.42,58.84,59.49,0.97,14.17,165.36,53.11,53.11,93.47,0.7,1.92,True,True,2.0,yt01_002000.jpg,yt01,Neutral Standing
146.91,117.75,57.66,54.59,1.18,13.59,170.23,51.17,51.17,98.66,0.7,2.27,True,True,2.0,yt01_002050.jpg,yt01,Neutral Standing
142.77,118.95,59.21,58.47,2.36,13.25,168.25,48.82,48.82,84.84,0.7,1.61,True,True,2.0,yt01_002100.jpg,yt01,Neutral Standing
171.35,156.77,101.64,96.16,11.05,12.71,67.4,59.72,59.72,88.28,0.7,7.47,True,True,2.0,yt01_002200.jpg,yt01,Neutral Standing
176.64,153.88,98.48,94.28,13.85,12.29,74.79,63.78,63.78,88.92,0.7,6.21,True,True,2.0,yt01_002250.jpg,yt01,Neutral Standing
176.73,151.97,104.18,104.45,4.32,12.18,80.24,62.66,62.66,90.08,0.7,5.8,True,True,2.0,yt01_002300.jpg,yt01,Neutral Standing
176.93,153.68,100.74,99.28,6.96,12.17,77.91,63.59,63.59,86.8,0.7,6.16,True,True,2.0,yt01_002350.jpg,yt01,Neutral Standing
150.73,118.73,57.52,60.15,0.43,13.93,162.91,51.17,51.17,98.02,0.7,1.53,True,True,2.0,yt01_002400.jpg,yt01,Neutral Standing
175.34,135.33,113.52,120.03,20.12,19.94,110.89,118.28,118.28,118.95,0.7,6.06,True,True,2.0,yt01_002450.jpg,yt01,Neutral Standing
146.66,141.53,97.94,94.0,34.07,11.19,62.76,77.22,77.22,97.9,0.7,5.55,True,True,2.0,yt01_002500.jpg,yt01,Neutral Standing
175.04,146.8,150.07,156.07,10.87,28.95,176.83,20.14,20.14,119.81,0.7,1.3,True,True,2.0,yt01_002600.jpg,yt01,Neutral Standing
122.83,74.46,119.06,72.0,19.42,1.63,43.04,16.68,16.68,34.15,0.7,1.13,True,True,2.0,yt01_002650.jpg,yt01,Neutral Standing
107.32,132.81,145.57,150.33,12.1,9.96,176.51,23.33,23.33,71.41,0.7,0.42,True,True,2.0,yt01_002750.jpg,yt01,Neutral Standing
0.46,106.21,165.98,159.55,9.85,10.04,46.71,62.79,62.79,26.06,0.7,2.51,True,True,2.0,yt01_002800.jpg,yt01,Neutral Standing
84.56,160.28,153.58,175.95,12.56,11.82,164.12,26.18,26.18,16.88,0.7,18.48,True,True,2.0,yt01_002950.jpg,yt01,Neutral Standing
179.06,153.19,105.94,110.47,2.03,12.4,70.85,64.46,64.46,81.39,0.7,6.17,True,True,2.0,yt01_003050.jpg,yt01,Neutral Standing
179.92,130.23,90.32,92.91,1.78,11.73,55.56,49.01,49.01,68.72,0.7,2.52,True,True,2.0,yt01_003100.jpg,yt01,Neutral Standing
179.51,129.73,89.09,93.39,0.49,11.41,70.05,48.79,48.79,67.61,0.7,2.5,True,True,2.0,yt01_003150.jpg,yt01,Neutral Standing
165.93,141.48,114.05,102.74,27.54,17.67,130.86,77.14,77.14,68.56,0.7,8.18,True,True,2.0,yt01_003300.jpg,yt01,Neutral Standing
168.84,140.33,105.46,65.18,13.4,21.11,84.03,107.83,107.83,126.09,0.7,11.61,True,True,2.0,yt01_003350.jpg,yt01,Neutral Standing
170.57,152.59,99.34,95.33,11.33,12.19,83.01,57.86,57.86,85.78,0.7,5.78,True,True,2.0,yt01_003550.jpg,yt01,Neutral Standing
178.0,136.6,57.52,57.41,2.0,8.46,172.73,41.31,41.31,62.08,0.7,3.06,True,True,2.0,yt01_003600.jpg,yt01,Neutral Standing
162.56,146.61,55.44,74.16,14.03,9.54,160.99,35.73,35.73,39.51,0.7,4.35,True,True,2.0,yt01_003650.jpg,yt01,Neutral Standing
176.9,144.74,69.53,70.02,8.29,8.57,162.18,35.35,35.35,52.01,0.7,4.36,True,True,2.0,yt01_003700.jpg,yt01,Neutral Standing
132.94,134.8,110.31,74.2,4.95,14.53,167.01,22.02,22.02,30.73,0.7,3.18,True,True,2.0,yt01_003800.jpg,yt01,Neutral Standing
143.3,101.78,164.86,101.48,42.39,6.2,163.79,13.57,13.57,36.99,0.7,1.4,True,True,2.0,yt01_003850.jpg,yt01,Neutral Standing
169.68,151.2,115.22,97.91,66.9,20.19,96.97,128.83,128.83,111.74,0.7,10.94,True,True,2.0,yt01_003900.jpg,yt01,Neutral Standing
158.41,138.83,112.61,106.17,16.65,12.12,67.73,48.94,48.94,56.05,0.7,1.11,True,True,2.0,yt02_000150.jpg,yt02,Neutral Standing
166.27,146.64,80.45,88.1,9.44,11.7,32.89,50.8,50.8,42.03,0.7,3.77,True,True,2.0,yt02_000200.jpg,yt02,Neutral Standing
150.35,137.67,112.39,110.2,4.85,10.75,75.9,41.62,41.62,39.36,0.7,0.91,True,True,2.0,yt02_000250.jpg,yt02,Neutral Standing
85.51,155.26,128.66,137.91,0.86,10.84,26.79,2.83,2.83,12.56,0.7,3.43,True,True,2.0,yt02_000300.jpg,yt02,Neutral Standing
135.61,131.16,123.02,83.61,16.14,10.19,164.46,11.7,11.7,19.7,0.7,1.53,True,True,2.0,yt02_000350.jpg,yt02,Neutral Standing
78.56,122.87,110.0,99.97,6.45,11.17,169.23,36.78,36.78,33.04,0.7,0.71,True,True,2.0,yt02_000400.jpg,yt02,Neutral Standing
119.41,126.05,117.21,115.24,3.91,12.53,178.48,12.42,12.42,21.28,0.7,1.33,True,True,2.0,yt02_000450.jpg,yt02,Neutral Standing
167.48,120.35,46.14,10.15,1.0,10.0,171.95,1.76,1.76,37.51,0.7,0.41,True,True,2.0,yt02_000500.jpg,yt02,Neutral Standing
163.72,167.86,138.76,138.75,24.75,11.55,35.79,51.48,51.48,12.78,0.7,7.35,True,True,2.0,yt02_000600.jpg,yt02,Neutral Standing
157.44,151.32,101.41,95.21,24.12,11.1,59.74,49.29,49.29,56.25,0.7,4.84,True,True,2.0,yt02_000650.jpg,yt02,Neutral Standing
168.47,140.02,76.72,78.06,14.5,12.1,98.86,60.74,60.74,63.32,0.7,2.85,True,True,2.0,yt02_000700.jpg,yt02,Neutral Standing
167.39,139.67,117.88,115.82,20.45,11.12,103.65,55.18,55.18,58.75,0.7,1.25,True,True,2.0,yt02_002200.jpg,yt02,Neutral Standing
172.65,150.43,91.99,102.99,8.99,11.23,62.92,52.16,52.16,59.81,0.7,4.38,True,True,2.0,yt02_002250.jpg,yt02,Neutral Standing
149.21,138.26,110.45,115.87,5.83,11.41,127.6,48.72,48.72,28.14,0.7,1.27,True,True,2.0,yt02_002300.jpg,yt02,Neutral Standing
74.26,139.71,114.22,136.19,7.37,10.13,157.58,0.61,0.61,25.73,0.7,0.96,True,True,2.0,yt02_002350.jpg,yt02,Neutral Standing
156.2,124.61,98.05,70.2,6.08,9.56,165.23,5.5,5.5,17.12,0.7,0.46,True,True,2.0,yt02_002400.jpg,yt02,Neutral Standing
124.95,121.33,126.5,109.76,2.02,10.59,166.48,5.22,5.22,41.12,0.7,0.78,True,True,2.0,yt02_002450.jpg,yt02,Neutral Standing
95.82,121.21,115.49,114.34,7.8,10.59,165.07,23.2,23.2,33.16,0.7,0.87,True,True,2.0,yt02_002500.jpg,yt02,Neutral Standing
