neck_flexion,trunk_flexion,left_shoulder_elev,right_shoulder_elev,shoulder_symmetry,alignment_deviation,knee_angle,forward_head_posture,head_tilt_angle,wrist_deviation_angle,stance_stability,weight_shift_offset,lower_body_visible,upper_body_visible,body_visibility,frame_name,source_video,frame_idx,task_label,timestamp_sec
137.87,155.65,163.38,171.66,1.61,11.42,164.02,37.52,37.52,33.85,0.7,0.37,True,True,2.0,yt_01_000000.jpg,assembly_worker_E943iVhG9dc.mp4,0,Assembly Work,0.0
119.31,154.53,171.8,162.37,23.35,19.99,131.52,136.32,136.32,42.43,0.7,12.82,True,True,2.0,yt_01_000050.jpg,assembly_worker_E943iVhG9dc.mp4,50,Assembly Work,2.0
89.42,136.61,155.67,162.49,3.83,12.26,174.0,54.91,54.91,80.35,0.7,4.33,True,True,2.0,yt_01_000100.jpg,assembly_worker_E943iVhG9dc.mp4,100,Assembly Work,4.0
61.03,129.7,133.61,129.84,9.73,9.74,167.63,53.43,53.43,57.62,0.7,4.78,True,True,2.0,yt_01_000150.jpg,assembly_worker_E943iVhG9dc.mp4,150,Assembly Work,6.0
59.23,134.76,125.1,132.86,11.72,10.61,175.54,58.84,58.84,60.23,0.7,4.45,True,True,2.0,yt_01_000200.jpg,assembly_worker_E943iVhG9dc.mp4,200,Assembly Work,8.0
43.26,136.08,97.26,136.32,16.58,7.56,174.79,38.52,38.52,20.54,0.7,2.97,True,True,2.0,yt_01_000250.jpg,assembly_worker_E943iVhG9dc.mp4,250,Assembly Work,10.0
49.16,113.77,166.24,156.48,2.58,9.88,173.41,53.72,53.72,66.32,0.7,8.97,True,True,2.0,yt_01_000300.jpg,assembly_worker_E943iVhG9dc.mp4,300,Assembly Work,12.0
78.07,131.27,134.11,134.83,5.97,8.95,107.7,55.75,55.75,46.65,0.7,2.97,True,True,2.0,yt_01_000350.jpg,assembly_worker_E943iVhG9dc.mp4,350,Assembly Work,14.0
85.54,117.22,165.42,106.97,20.56,10.55,89.85,63.85,63.85,77.63,0.7,7.23,True,True,2.0,yt_01_000400.jpg,assembly_worker_E943iVhG9dc.mp4,400,Assembly Work,16.0
59.45,129.75,128.76,135.15,1.2,9.48,149.78,58.76,58.76,53.59,0.7,5.02,True,True,2.0,yt_01_000450.jpg,assembly_worker_E943iVhG9dc.mp4,450,Assembly Work,18.0
74.84,135.08,142.07,147.49,3.76,8.97,77.55,50.04,50.04,51.65,0.7,2.89,True,True,2.0,yt_01_000500.jpg,assembly_worker_E943iVhG9dc.mp4,500,Assembly Work,20.0
63.73,143.59,148.97,147.19,5.2,8.74,139.65,55.76,55.76,46.89,0.7,1.71,True,True,2.0,yt_01_000550.jpg,assembly_worker_E943iVhG9dc.mp4,550,Assembly Work,22.0
53.57,137.13,126.46,144.72,15.69,8.76,166.13,48.88,48.88,37.58,0.7,3.79,True,True,2.0,yt_01_000600.jpg,assembly_worker_E943iVhG9dc.mp4,600,Assembly Work,24.0
59.22,142.65,145.28,143.09,6.52,8.66,156.43,53.86,53.86,42.63,0.7,2.01,True,True,2.0,yt_01_000650.jpg,assembly_worker_E943iVhG9dc.mp4,650,Assembly Work,26.0
50.26,140.2,137.52,144.48,14.26,8.62,164.7,49.03,49.03,37.49,0.7,3.34,True,True,2.0,yt_01_000700.jpg,assembly_worker_E943iVhG9dc.mp4,700,Assembly Work,28.0
60.44,142.12,145.03,141.97,5.67,8.8,154.39,52.74,52.74,45.49,0.7,1.99,True,True,2.0,yt_01_000750.jpg,assembly_worker_E943iVhG9dc.mp4,750,Assembly Work,30.0
52.96,139.03,144.11,145.79,10.27,9.37,163.13,56.15,56.15,45.83,0.7,3.18,True,True,2.0,yt_01_000800.jpg,assembly_worker_E943iVhG9dc.mp4,800,Assembly Work,32.0
59.72,135.94,142.61,140.1,3.1,9.15,160.87,55.45,55.45,47.62,0.7,3.47,True,True,2.0,yt_01_000850.jpg,assembly_worker_E943iVhG9dc.mp4,850,Assembly Work,34.0
57.43,140.08,142.46,142.41,4.47,9.29,170.64,54.11,54.11,49.89,0.7,2.47,True,True,2.0,yt_01_000900.jpg,assembly_worker_E943iVhG9dc.mp4,900,Assembly Work,36.0
57.32,137.17,138.41,140.27,3.83,8.7,157.62,51.87,51.87,44.27,0.7,2.6,True,True,2.0,yt_01_000950.jpg,assembly_worker_E943iVhG9dc.mp4,950,Assembly Work,38.0
54.67,129.82,143.27,144.55,5.7,8.48,146.71,51.11,51.11,46.73,0.7,4.24,True,True,2.0,yt_01_001000.jpg,assembly_worker_E943iVhG9dc.mp4,1000,Assembly Work,40.0
56.81,137.93,138.55,141.07,4.24,9.21,168.95,54.85,54.85,47.3,0.7,2.57,True,True,2.0,yt_01_001050.jpg,assembly_worker_E943iVhG9dc.mp4,1050,Assembly Work,42.0
60.13,134.74,131.58,132.43,4.4,8.91,160.51,55.65,55.65,57.36,0.7,2.95,True,True,2.0,yt_01_001100.jpg,assembly_worker_E943iVhG9dc.mp4,1100,Assembly Work,44.0
67.33,135.43,145.81,149.25,3.43,9.62,155.52,55.71,55.71,55.7,0.7,3.64,True,True,2.0,yt_01_001150.jpg,assembly_worker_E943iVhG9dc.mp4,1150,Assembly Work,46.0
64.71,137.32,138.05,144.07,5.21,8.86,164.74,47.33,47.33,37.6,0.7,2.94,True,True,2.0,yt_01_001200.jpg,assembly_worker_E943iVhG9dc.mp4,1200,Assembly Work,48.0
57.08,142.48,143.05,147.16,6.54,9.65,169.46,58.24,58.24,53.19,0.7,2.76,True,True,2.0,yt_01_001250.jpg,assembly_worker_E943iVhG9dc.mp4,1250,Assembly Work,50.0
67.62,138.81,141.86,146.44,1.43,9.25,166.6,55.23,55.23,50.17,0.7,3.34,True,True,2.0,yt_01_001300.jpg,assembly_worker_E943iVhG9dc.mp4,1300,Assembly Work,52.0
62.77,148.27,155.17,151.26,8.03,9.86,163.02,59.31,59.31,55.17,0.7,2.04,True,True,2.0,yt_01_001350.jpg,assembly_worker_E943iVhG9dc.mp4,1350,Assembly Work,54.0
60.25,147.49,151.71,149.97,7.12,9.75,160.43,60.2,60.2,54.15,0.7,2.01,True,True,2.0,yt_01_001400.jpg,assembly_worker_E943iVhG9dc.mp4,1400,Assembly Work,56.0
56.13,145.69,131.82,146.73,18.63,8.83,177.36,45.39,45.39,36.56,0.7,2.7,True,True,2.0,yt_01_001450.jpg,assembly_worker_E943iVhG9dc.mp4,1450,Assembly Work,58.0
86.81,144.55,158.74,160.6,1.37,9.5,163.46,52.53,52.53,47.7,0.7,1.8,True,True,2.0,yt_01_001500.jpg,assembly_worker_E943iVhG9dc.mp4,1500,Assembly Work,60.0
80.65,149.56,153.45,164.76,42.29,10.59,167.24,63.09,63.09,36.66,0.7,1.85,True,True,2.0,yt_01_001550.jpg,assembly_worker_E943iVhG9dc.mp4,1550,Assembly Work,62.0
64.4,122.56,119.6,99.29,14.57,8.2,159.59,56.52,56.52,38.19,0.7,4.87,True,True,2.0,yt_01_001600.jpg,assembly_worker_E943iVhG9dc.mp4,1600,Assembly Work,64.0
53.55,132.48,129.37,133.15,10.5,7.97,159.64,53.71,53.71,48.24,0.7,3.06,True,True,2.0,yt_01_001650.jpg,assembly_worker_E943iVhG9dc.mp4,1650,Assembly Work,66.0
51.37,130.4,131.11,132.23,8.55,7.97,164.02,49.91,49.91,47.39,0.7,3.16,True,True,2.0,yt_01_001700.jpg,assembly_worker_E943iVhG9dc.mp4,1700,Assembly Work,68.0
52.5,131.88,131.55,135.94,9.61,8.05,165.6,51.55,51.55,49.8,0.7,3.13,True,True,2.0,yt_01_001750.jpg,assembly_worker_E943iVhG9dc.mp4,1750,Assembly Work,70.0
48.1,126.66,121.93,119.36,13.86,6.3,98.28,45.97,45.97,41.74,0.7,3.02,True,True,2.0,yt_01_001800.jpg,assembly_worker_E943iVhG9dc.mp4,1800,Assembly Work,72.0
51.63,128.77,131.99,119.18,12.13,6.63,123.53,47.01,47.01,34.96,0.7,2.91,True,True,2.0,yt_01_001850.jpg,assembly_worker_E943iVhG9dc.mp4,1850,Assembly Work,74.0
51.1,134.02,134.54,133.58,4.59,8.22,155.83,54.25,54.25,48.23,0.7,3.24,True,True,2.0,yt_01_001900.jpg,assembly_worker_E943iVhG9dc.mp4,1900,Assembly Work,76.0
66.64,130.01,137.77,122.47,21.83,7.96,142.97,50.08,50.08,36.5,0.7,3.52,True,True,2.0,yt_01_001950.jpg,assembly_worker_E943iVhG9dc.mp4,1950,Assembly Work,78.0
57.78,133.1,133.88,129.74,11.34,7.92,155.51,50.1,50.1,42.89,0.7,3.04,True,True,2.0,yt_01_002000.jpg,assembly_worker_E943iVhG9dc.mp4,2000,Assembly Work,80.0
69.48,132.42,132.54,141.28,16.73,9.14,169.3,53.12,53.12,60.77,0.7,3.4,True,True,2.0,yt_01_002050.jpg,assembly_worker_E943iVhG9dc.mp4,2050,Assembly Work,82.0
64.69,133.07,134.5,143.98,11.44,8.55,158.39,50.27,50.27,59.01,0.7,2.8,True,True,2.0,yt_01_002100.jpg,assembly_worker_E943iVhG9dc.mp4,2100,Assembly Work,84.0
80.27,138.25,142.82,144.89,2.49,9.59,122.38,57.52,57.52,43.32,0.7,2.97,True,True,2.0,yt_01_002150.jpg,assembly_worker_E943iVhG9dc.mp4,2150,Assembly Work,86.0
83.0,141.97,148.01,147.43,1.99,8.94,120.7,50.75,50.75,50.03,0.7,1.55,True,True,2.0,yt_01_002200.jpg,assembly_worker_E943iVhG9dc.mp4,2200,Assembly Work,88.0
102.12,144.34,153.33,165.27,0.8,10.3,136.06,66.03,66.03,47.45,0.7,1.92,True,True,2.0,yt_01_002250.jpg,assembly_worker_E943iVhG9dc.mp4,2250,Assembly Work,90.0
91.85,153.9,160.17,163.49,1.14,9.11,174.01,50.12,50.12,53.57,0.7,0.94,True,True,2.0,yt_01_002300.jpg,assembly_worker_E943iVhG9dc.mp4,2300,Assembly Work,92.0
104.03,151.97,159.02,170.77,10.26,9.52,171.14,51.03,51.03,59.04,0.7,0.79,True,True,2.0,yt_01_002350.jpg,assembly_worker_E943iVhG9dc.mp4,2350,Assembly Work,94.0
88.96,143.82,157.29,160.1,6.74,8.48,157.98,49.28,49.28,54.05,0.7,0.87,True,True,2.0,yt_01_002400.jpg,assembly_worker_E943iVhG9dc.mp4,2400,Assembly Work,96.0
