source,sample_id,neck_flexion,trunk_flexion,left_shoulder_elev,right_shoulder_elev,shoulder_symmetry,alignment_deviation,label
multiposture,multiposture_0,2.8543,0.6324,15.9531,6.6897,6.08,2.655,MEDIUM
multiposture,multiposture_1,0.9586,3.7226,26.9733,20.006,8.0807,8.4446,MEDIUM
multiposture,multiposture_2,4.5292,2.9732,27.0468,19.338,10.1886,4.4629,MEDIUM
multiposture,multiposture_3,3.0808,2.7019,27.054,19.5919,11.8442,4.525,MEDIUM
multiposture,multiposture_4,2.0006,2.5244,27.7394,20.129,12.884,4.6605,MEDIUM
multiposture,multiposture_5,2.2053,2.5228,27.691,20.0381,11.9897,4.5478,MEDIUM
multiposture,multiposture_6,2.4807,2.4879,27.5955,19.9228,11.4212,4.3441,MEDIUM
multiposture,multiposture_7,3.693,2.5696,27.4931,20.4715,10.5744,3.9817,MEDIUM
multiposture,multiposture_8,4.6155,2.5656,27.6354,20.4818,10.4722,3.5663,MEDIUM
multiposture,multiposture_9,2.5957,2.5077,27.4793,20.7851,9.4756,4.3399,MEDIUM
multiposture,multiposture_10,4.8961,2.4592,27.2695,21.2641,6.6176,7.1555,MEDIUM
multiposture,multiposture_11,5.5603,2.3186,27.1781,21.0198,6.4184,7.0701,MEDIUM
multiposture,multiposture_12,2.9759,2.2198,14.8424,21.4443,11.8899,3.6122,MEDIUM
multiposture,multiposture_13,19.3003,6.2018,30.3927,24.1051,13.3335,5.5226,MEDIUM
multiposture,multiposture_14,18.7359,6.3145,29.2213,23.4323,13.1994,6.2683,MEDIUM
multiposture,multiposture_15,18.657,6.3262,28.4699,24.0714,13.2815,6.329,MEDIUM
multiposture,multiposture_16,17.5023,6.0266,28.0911,24.4339,13.4262,6.2248,MEDIUM
multiposture,multiposture_17,15.1975,5.5565,28.386,24.7897,12.5326,6.0846,MEDIUM
multiposture,multiposture_18,13.7526,5.2548,28.0643,24.8841,12.2769,6.0078,MEDIUM
multiposture,multiposture_19,13.6208,5.2316,27.8789,24.8336,12.1753,6.0088,MEDIUM
