path,video,frame_name,auto_task,auto_risk,confidence,human_task,human_risk,quality,notes
outputs\real_data\frames\frame_000030.jpg,VIDJOB-92d24689.mp4,frame_000030.jpg,Assembly Work,MEDIUM,87.50860182677998,Seated Work,LOW,partial,the
outputs\real_data\frames\frame_000060.jpg,VIDJOB-92d24689.mp4,frame_000060.jpg,Assembly Work,MEDIUM,88.27149938134586,Assembly Work,LOW,partial,lower
outputs\real_data\frames\frame_000090.jpg,VIDJOB-92d24689.mp4,frame_000090.jpg,Assembly Work,MEDIUM,88.9002824530882,Inspection,MEDIUM,partial,f
outputs\real_data\frames\frame_000120.jpg,VIDJOB-92d24689.mp4,frame_000120.jpg,Seated Work,MEDIUM,88.3775928441216,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000150.jpg,VIDJOB-92d24689.mp4,frame_000150.jpg,Seated Work,MEDIUM,89.07811676754672,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000180.jpg,VIDJOB-92d24689.mp4,frame_000180.jpg,Seated Work,MEDIUM,89.7147767684039,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000210.jpg,VIDJOB-92d24689.mp4,frame_000210.jpg,Seated Work,MEDIUM,89.904843007817,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000240.jpg,VIDJOB-92d24689.mp4,frame_000240.jpg,Neutral Standing,MEDIUM,90.45985551441417,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000270.jpg,VIDJOB-92d24689.mp4,frame_000270.jpg,Seated Work,MEDIUM,90.77373813180363,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000300.jpg,VIDJOB-92d24689.mp4,frame_000300.jpg,Seated Work,MEDIUM,90.6989311470705,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000330.jpg,VIDJOB-92d24689.mp4,frame_000330.jpg,Seated Work,MEDIUM,91.33330443326165,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000360.jpg,VIDJOB-92d24689.mp4,frame_000360.jpg,Seated Work,MEDIUM,91.70640251215767,Seated Work,LOW,,
outputs\real_data\frames\frame_000390.jpg,VIDJOB-92d24689.mp4,frame_000390.jpg,Seated Work,MEDIUM,91.06322632116431,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000420.jpg,VIDJOB-92d24689.mp4,frame_000420.jpg,Seated Work,MEDIUM,90.47539251692154,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000450.jpg,VIDJOB-92d24689.mp4,frame_000450.jpg,Seated Work,MEDIUM,89.70644193537095,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000480.jpg,VIDJOB-92d24689.mp4,frame_000480.jpg,Seated Work,MEDIUM,89.02271126999575,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000510.jpg,VIDJOB-92d24689.mp4,frame_000510.jpg,Seated Work,LOW,88.59370070345261,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000540.jpg,VIDJOB-92d24689.mp4,frame_000540.jpg,Seated Work,MEDIUM,87.94981714557198,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000570.jpg,VIDJOB-92d24689.mp4,frame_000570.jpg,Seated Work,MEDIUM,88.21451348416946,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000600.jpg,VIDJOB-92d24689.mp4,frame_000600.jpg,Seated Work,LOW,88.0139839999816,Assembly Work,LOW,partial,theoverl
outputs\real_data\frames\frame_000630.jpg,VIDJOB-92d24689.mp4,frame_000630.jpg,Seated Work,LOW,87.60010477374581,Assembly Work,LOW,partial,l
outputs\real_data\frames\frame_000660.jpg,VIDJOB-92d24689.mp4,frame_000660.jpg,Seated Work,LOW,87.03920367886039,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000690.jpg,VIDJOB-92d24689.mp4,frame_000690.jpg,Seated Work,LOW,86.6867763154647,Seated Work,LOW,partial,
outputs\real_data\frames\frame_000720.jpg,VIDJOB-92d24689.mp4,frame_000720.jpg,Seated Work,LOW,86.36621324455037,Seated Work,LOW,partial,
